timestamp,open,high,low,close,volume
2023-11-27 04:00:00,377.0000,377.8500,377.0000,377.2000,1505
2023-11-27 04:18:00,377.0100,377.0100,377.0100,377.0100,100
2023-11-27 04:23:00,376.8000,376.8000,376.8000,376.8000,174
2023-11-27 04:24:00,376.8000,376.8000,376.8000,376.8000,118
2023-11-27 05:15:00,376.9000,376.9000,376.9000,376.9000,121
2023-11-27 05:19:00,377.1200,377.1300,377.1200,377.1300,231
2023-11-27 05:50:00,377.2800,377.2800,377.2800,377.2800,110
2023-11-27 06:43:00,377.0000,377.0000,377.0000,377.0000,100
2023-11-27 06:54:00,376.8000,376.8000,376.8000,376.8000,500
2023-11-27 06:58:00,376.7000,376.7000,376.7000,376.7000,118
2023-11-27 07:00:00,376.8000,376.8900,376.8000,376.8000,513
2023-11-27 07:03:00,376.9000,376.9000,376.9000,376.9000,100
2023-11-27 07:10:00,377.1500,377.1500,377.1500,377.1500,412
2023-11-27 07:11:00,377.2000,377.2200,377.2000,377.2200,400
2023-11-27 07:12:00,377.2700,377.3000,377.2700,377.3000,635
2023-11-27 07:13:00,377.2700,377.2700,377.2700,377.2700,582
2023-11-27 07:14:00,377.2700,377.2700,377.2700,377.2700,160
2023-11-27 07:15:00,377.2100,377.2100,377.2000,377.2000,569
2023-11-27 07:17:00,377.1400,377.1400,377.1400,377.1400,121
2023-11-27 07:18:00,377.1700,377.1700,377.1700,377.1700,174
2023-11-27 07:24:00,377.0300,377.0300,377.0000,377.0000,897
2023-11-27 07:25:00,376.9500,376.9500,376.9500,376.9500,100
2023-11-27 07:26:00,376.9000,376.9200,376.9000,376.9200,200
2023-11-27 07:30:00,376.7700,376.7700,376.7700,376.7700,100
2023-11-27 07:31:00,376.6500,376.6500,376.6500,376.6500,100
2023-11-27 07:33:00,376.8500,376.8500,376.7700,376.7700,627
2023-11-27 07:37:00,376.6000,376.6000,376.6000,376.6000,100
2023-11-27 07:38:00,376.5600,376.5600,376.5600,376.5600,200
2023-11-27 07:39:00,376.4400,376.4400,376.4400,376.4400,100
2023-11-27 07:45:00,376.4100,376.4100,376.4100,376.4100,100
2023-11-27 07:49:00,376.4000,376.4000,376.3700,376.3700,3626
2023-11-27 07:52:00,376.3500,376.3500,376.3500,376.3500,100
2023-11-27 07:56:00,376.4000,376.4000,376.4000,376.4000,963
2023-11-27 07:58:00,376.3100,376.3400,376.3100,376.3400,500
